DOLocationID,Borough,Zone,service_zone,avg,median,count
34,Brooklyn,Brooklyn Navy Yard,Boro Zone,0.2015531771322461,0.1999999999999999,394.0
40,Brooklyn,Carroll Gardens,Boro Zone,0.1952884454647095,0.1999999999999999,5341.0
54,Brooklyn,Columbia Street,Boro Zone,0.1948516442176081,0.1999999999999999,1236.0
112,Brooklyn,Greenpoint,Boro Zone,0.1937797416659102,0.1999999999999999,8395.0
223,Queens,Steinway,Boro Zone,0.193433614016855,0.1999999999999999,7194.0
181,Brooklyn,Park Slope,Boro Zone,0.1930398043724525,0.1999999999999999,12334.0
138,Queens,LaGuardia Airport,Airports,0.1921017492447928,0.1998958875585632,55311.0
52,Brooklyn,Cobble Hill,Boro Zone,0.1914525334077184,0.1999999999999999,3421.0
33,Brooklyn,Brooklyn Heights,Boro Zone,0.1913110659764346,0.1999999999999999,10455.0
7,Queens,Astoria,Boro Zone,0.1906118121769722,0.1999999999999999,12750.0
257,Brooklyn,Windsor Terrace,Boro Zone,0.1904123078842854,0.1999128919860627,2327.0
179,Queens,Old Astoria,Boro Zone,0.1891741750932717,0.1999999999999999,4793.0
202,Manhattan,Roosevelt Island,Boro Zone,0.1888842820519811,0.1999999999999999,1701.0
8,Queens,Astoria Park,Boro Zone,0.1888367332662791,0.1999999999999999,101.0
189,Brooklyn,Prospect Heights,Boro Zone,0.1887011721248362,0.1999999999999999,3666.0
145,Queens,Long Island City/Hunters Point,Boro Zone,0.1877751076134145,0.1999999999999999,11006.0
186,Manhattan,Penn Station/Madison Sq West,Yellow Zone,0.1877685797498119,0.1999999999999999,31064.0
106,Brooklyn,Gowanus,Boro Zone,0.1873893918671453,0.1999999999999999,1882.0
125,Manhattan,Hudson Sq,Yellow Zone,0.1869126570411269,0.1999999999999999,9350.0
190,Brooklyn,Prospect Park,Boro Zone,0.1867590082209382,0.1999999999999999,622.0
